username,rating,comment
m*****8,4,"Barangya bagus, respon penjual juga bagus tapi sayangnya ukuran L nya kecil ternyata"
kdk078,5,Suka suka sukaaaa… barang sesuai pesanan dan pengirman cepat. Terimakasih Kak
p*****4,2,"Tampilan:baguss
Warna:tidak realpic

Sebenernya di feednya warna kemejanya coklat tua gitu, ternyata ijo😌"
ekapj,5,Bagus bahan tebel pelanggan ku suka
yopisartian21,5,Dengan ini diterima paket berupa 1 pc kemeja panjang ukuran M dalam keadaan baik dan pas dipakai. Namun pengiriman agak lama. Situasi aman terkendali. Lancar selalu usahanya.
gerryalaneee,5,"Nyampe nya agak kusut... Tapibwajarlah....
Barang nya bagus ini, bkn yg model berbulu....
Untuk harga segitu... Kualitas aku anggap OKE bnget"
i*****3,5,"Baju nya bagus bahan nya juga adem pengiriman cepat, Alhamdulillah suami suka..
Insya allah next order lagi"
novanramadhan26,5,"Barang sangat bagus, pengiriman cepat, sesuai pesanan. Sangat direkomendasikan kalau mau blaja barang di tokoh ini👍"
erkonurcahyo,5,"Bahan tebal & jahitan nya jg kuat 👍, yg pasti nyaman di pakai 😊"
muhaeminahmad,5,"Barang sudah nyampe,,, kualitas ok. Bahan nya jg adem. Pokok nya ok."
wildanhusna,5,"Produk mantap, tp bau tak seperti baru, apek. Pengiriman lumayan cepat"
anisabintimaryadi,1,"Sangat2 kecewa, dgn harga segini harusnya dapet yg kualitas baik, eh malah dikirim y kemeja bahan dah kayak jaring ikan sangat kasar dan nerawang , ga recomend😛😛"
rahmat354,5,"Bahan oke,ukuran pas enak di pke tp sedikit beda jenis kain dr derkripsi produk,so far ok "
nurdinbaek,5,"Belanja puas harga pas, tapi beda merk dengan yang ada di gambar"
raketsecond_puri,4,"Bahannya bagus, tapi utk dibagian lengannya terlalu slim. Jadi ketat bgt"
shagha_shop,5,Bagus.... Tapi ternyata brand a bukan Mike pm..... Sebelumnya beli size M brand Mike pm lengan a bisa pas.... Ini malah perut a pas sayang lengan a agak sempit.....
agusgunawan530,2,Alhamdulillah barang sudah sampe sesuai sama yang di gambar top markotop
kalam80,4,"Barang nya sesuai, tapi di foto nya ada baju daleman gitu, eh pas sampai baju daleman nya ga ada, tapi ya gapapa lah suka sama kemeja nya bahannya lembut, tebal, adem, dan ga kaku. Thanks admin"
novianoermarifka,5,"Bagus.  Tp sepertinya bahan utk model yg terbaru lebih baik dari ini, tp ini tetap nyaman dipakai krn bagian dalam jg halus 😊😊"
susilaa21,5,bagusssssss cuma agak kegeedan aja ternyataaaa bahan bagian dalem halussss bagian luarkasarr tapiii kerennn murah gak murahaaaaan toppp dehhhhh
imamsantoso23,5,Tks kak barang sdh smpi.bagus deh saya suka bahannya.luar biasa smg tmb sukses ka.👍👍👍
putriiiiipermata,4,"Bahannya bagus lembut tp sayang size yg saya mau kosong, Lalu dichat seller motif & size kosong. Sepakat dng motif baru via chat. Eh yg datang malah motif pertama yg diblg kosong 😅. Keseluruhannya baik bangeeet. Thanks."
n*****r,3,"Warna:warna kurang akurat

Warna baju berbeda lumayan jauh dari aslinya. Di foto harusnya dominan warna merah, tapi yang datang lebih ke warna hijau. Yaudahlah daripada ribet urusin retur mending kasi bintang aja"
arifsonanda,3,"pesanan sampai tidak terlalu lama, bahan sedikit berbulu dan ada bintik2 warna yg tidak rapi"
muhzulhamdi,5,Barang mantap tapi utk ukurannya ngepas kyk L padahal udh ambil ukuran xl
l*****0,5,"bahannya bagus, sesuai dengan harga. makasih min, next order lagi"
ariwibowo2296,5,"Mantaapppp Baguss Flanel nyaa, bahan nya juga tebel, Next bakal order disini lagii"
ghanianggat,5,Bahan ny bagus tapi warna ny beda sama di gambar gpp bagus rekomended
,5,"Barang nya udah sampe cepet sih lumayan, barangnya bagus ko adem"
ozy96,1,"Agak kecewa setelah meminta perubahan motif gk bisa pdhal barang blm dipacking, saya gk permasalahkan itu,tp kenapa ada beberapa salur benang yg rusak ,dan bagian sudut bnyak benang yg masih terurai,,,saya sudah bilang dicek dlu sebelum dikirim,, semoga kedepannya lagi pelayanannya bisa maksimal "
wandatr,5,"Barang cepat sampai, pas di aku, tidak ada cacat, menurut aku kainnya termasuk flannel yg tipis, tapi gapapa jadi gk gerah. Nice "
nikadekayuindiana,3,"Bahannya bagus, tp warnanya agak pudar gak seperti yg di gambar"
_aghniw17,5,"bagus sesuai harga, pengiriman dan pengemasan cukup cepat👍🏻"
,5,"Alhamdullilah, paket nya udah sampai. Terima kasih banyak seller.."
a*****h,5,"Kecepatan pengiriman baik, harga produk baik, produk original"
ramawibawa1999,5,"Barang sudah sampai. kulitas produk lumayan, sesuai dengan harga.
"
ikaagustin58,5,"Bajunya Bagus, nyaman, sipp, realpich,gk nyesel, mksh ms kurirnya."
muhammadikrammullah,5,"Bagus 
Ukuran juga gak salah
Gak terlalu pas dan gak terlalu kecil juga"
c*****5,5,Kualitas bagus Belum dicoba jangka panjang semoga aja awet
adheirawannakthereddevil,5,Sumpah ini bagus banget...keren buat outer ini mah realpick bangett next beli lgi lah
ayshaucahidayatulfitri,5,"Kalo ada bintang 10, aku kasih dah.. mantul bgt..
Bahan nya tebal bangeeeetttt..
Makasiih
Gffjjdghhhfgbbgggffhhvggccjhgvnbc
Hgghhvgjjjgfdgjfft"
m*****5,5,Terimakasih banyak barang sudah sampai dengam baik dan lumayan cepat
zenkilpinturicchio,5,"Tampilan:warnanya lebih gelap di banding di foto mungkin krna efek cahaya

Lebih gelap dari yang di gambar"
azmiftjnnh_,5,Mantapppp... rekomendasi banget nihhh... cepet lagi pengirimannyaa.. makasih banyak yaaaaaaaa.......
prayudhaa7x,5,"Mantap, pengiriman cepet & tepat waktu. 
Bahannya bagusss. Recommended"
